"key";"label";"required";"nl";"fr";"en";"de";"es";"pl";"pt";"tr"
"legal.shipping.updated";"Verzending en retouren · datum bijgewerkt";"true";"20 augustus 2026";"20 août 2026";"20 August 2026";"20. August 2026";"20 de agosto de 2026";"20 sierpnia 2026 r";"20 de agosto de 2026";"20 Ağustos 2026"
"legal.shipping.regions.toc";"Verzending en retouren · Leveringsgebieden · label in inhoudsopgave";"true";"Leveringsgebieden";"Zones de livraison";"Regions";"Liefergebiete";"Zonas de envío";"Obszary dostawy";"Regiões de entrega";"Teslimat bölgeleri"
"legal.shipping.regions.title";"Verzending en retouren · Leveringsgebieden · titel";"true";"1. Verzendregio's";"1. Régions d'expédition";"1. Shipping regions";"1. Versandregionen";"1. Regiones de envío";"1. Regiony wysyłki";"1. Regiões de envio";"1. Nakliye bölgeleri"
"legal.shipping.regions.p1";"Verzending en retouren · Leveringsgebieden · alinea 1";"true";"Enrosed levert aan zakelijke klanten in België en Nederland. Andere EU-bestemmingen en bestemmingen buiten de EU worden op aanvraag in overweging genomen. Product, hoeveelheid, bestemming en eventuele importvereisten worden beoordeeld voordat het transport wordt bevestigd.";"Enrosed approvisionne des clients professionnels en Belgique et aux Pays-Bas. Les autres destinations dans l’UE et hors UE sont étudiées sur demande. Le produit, la quantité, la destination et les éventuelles exigences d’importation sont vérifiés avant confirmation du transport.";"Enrosed supplies business customers in Belgium and the Netherlands. Other EU destinations and destinations outside the EU are considered on request. Product, quantity, destination and any import requirements are reviewed before transport is confirmed.";"Enrosed beliefert Geschäftskunden in Belgien und den Niederlanden. Weitere EU-Ziele und Ziele außerhalb der EU werden auf Anfrage berücksichtigt. Produkt, Menge, Bestimmungsort und etwaige Importanforderungen werden überprüft, bevor der Transport bestätigt wird.";"Enrosed suministra a clientes empresariales en Bélgica y los Países Bajos. Otros destinos de la UE y destinos fuera de la UE se consideran bajo petición. El producto, la cantidad, el destino y cualquier requisito de importación se revisan antes de confirmar el transporte.";"Enrosed zaopatruje klientów biznesowych w Belgii i Holandii. Inne kierunki w UE i poza UE są rozpatrywane na życzenie. Produkt, ilość, miejsce przeznaczenia i wszelkie wymagania importowe są sprawdzane przed potwierdzeniem transportu.";"A Enrosed fornece clientes empresariais na Bélgica e nos Países Baixos. Outros destinos na UE e fora da UE são considerados mediante pedido. O produto, a quantidade, o destino e quaisquer requisitos de importação são analisados antes da confirmação do transporte.";"Enrosed, Belçika ve Hollanda'daki ticari müşterilere hizmet vermektedir. Talep üzerine diğer AB destinasyonları ve AB dışındaki destinasyonlar dikkate alınır. Taşıma onaylanmadan önce ürün, miktar, varış yeri ve tüm ithalat gereklilikleri gözden geçirilir."
"legal.shipping.methods.toc";"Verzending en retouren · Leveringsmethoden · label in inhoudsopgave";"true";"Leveringsmethoden";"Modes de livraison";"Methods";"Liefermethoden";"Métodos de entrega";"Metody dostawy";"Métodos de entrega";"Teslimat yöntemleri"
"legal.shipping.methods.title";"Verzending en retouren · Leveringsmethoden · titel";"true";"2. Bezorg- en ophaalmethoden";"2. Modalités de livraison et de collecte";"2. Delivery and collection methods";"2. Liefer- und Abholmethoden";"2. Formas de entrega y recogida";"2. Sposoby dostawy i odbioru";"2. Métodos de entrega e recolha";"2. Teslimat ve teslim alma yöntemleri"
"legal.shipping.methods.p1";"Verzending en retouren · Leveringsmethoden · alinea 1";"true";"Bij elke offerte wordt de wijze van levering of ophaling afgesproken, omdat rozenstolpen, flowerboxes en toonbankdisplays verschillende afmetingen en verwerkingsbehoeften hebben. Beschikbare opties kunnen zijn:";"Le mode de livraison ou de retrait est convenu pour chaque devis car les cloches à rose, les flowerboxes et les présentoirs de comptoir ont des dimensions et des besoins de manipulation différents. Les options disponibles peuvent inclure :";"The fulfilment method is agreed for each quotation because rose domes, flowerboxes and counter displays have different dimensions and handling needs. Available options can include:";"Die Liefer- oder Abholart wird für jedes Angebot vereinbart, da Rosenglocken, Flowerboxen und Thekendisplays unterschiedliche Abmessungen und Handhabungsanforderungen haben. Zu den verfügbaren Optionen können gehören:";"El método de entrega se acuerda para cada presupuesto, ya que las cúpulas de cristal, las cajas florales y los expositores de mostrador tienen dimensiones y necesidades de manipulación diferentes. Las opciones disponibles pueden incluir:";"Sposób wysyłki lub odbioru jest uzgadniany dla każdej oferty, ponieważ klosze z różami, flowerboxy i ekspozytory na ladę mają różne wymiary i wymagania dotyczące obsługi. Dostępne opcje mogą obejmować:";"A modalidade de envio ou recolha é acordada para cada orçamento, porque as cúpulas de rosas, as flowerboxes e os expositores de balcão têm dimensões e necessidades de manuseamento diferentes. As opções disponíveis podem incluir:";"Gül fanusları, flowerboxlar ve tezgâh stantları farklı boyutlara ve elleçleme ihtiyaçlarına sahip olduğundan, her teklif için teslimat yöntemi kararlaştırılır. Mevcut seçenekler şunlar olabilir:"
"legal.shipping.methods.item1";"Verzending en retouren · Leveringsmethoden · item 1";"true";"ophalen door de klant of een aangewezen vervoerder op een afgesproken plaats en tijd;";"Enlèvement par le client ou un transporteur désigné à un lieu et une heure convenus ;";"collection by the customer or an appointed carrier at an agreed place and time;";"Abholung durch den Kunden oder einen beauftragten Spediteur an einem vereinbarten Ort und Zeitpunkt;";"recogida por parte del cliente o de un transportista designado en el lugar y hora acordados;";"odbiór przez Klienta lub wyznaczonego przewoźnika w ustalonym miejscu i terminie;";"recolha pelo cliente ou por um transportador por ele designado, no local e na hora acordados;";"müşteri veya görevlendirilen bir taşıyıcı tarafından kararlaştırılan yer ve zamanda teslim alma;"
"legal.shipping.methods.item2";"Verzending en retouren · Leveringsmethoden · item 2";"true";"pakket- of vrachtvervoer geregeld door Enrosed of door de klant;";"transport de colis ou de marchandises organisé par Enrosed ou par le client ;";"parcel or freight transport arranged by Enrosed or by the customer;";"Paket- oder Frachttransport, der von Enrosed oder vom Kunden veranlasst wird;";"transporte de paquetería o carga organizado por Enrosed o por el cliente;";"transport paczek lub ładunków zorganizowany przez Enrosed lub przez klienta;";"transporte de encomendas ou carga organizado por Enrosed ou pelo cliente;";"Enrosed veya müşteri tarafından düzenlenen koli veya yük taşımacılığı;"
"legal.shipping.methods.item3";"Verzending en retouren · Leveringsmethoden · item 3";"true";"pallet- of volumetransport voor grotere groothandelsbestellingen.";"transport de palettes ou de volumes pour les commandes en gros plus importantes.";"pallet or volume transport for larger wholesale orders.";"Paletten- oder Volumentransport für größere Großhandelsbestellungen.";"Transporte de pallets o volumen para pedidos mayoristas de mayor tamaño.";"Transport paletowy lub objętościowy przy większych zamówieniach hurtowych.";"transporte em palete ou por volume para encomendas grossistas de maior dimensão.";"Daha büyük toptan siparişler için paletli veya hacimli yük taşımacılığı."
"legal.shipping.costs.toc";"Verzending en retouren · Transportkosten · label in inhoudsopgave";"true";"Transportkosten";"Frais de transport";"Transport costs";"Transportkosten";"Gastos de transporte";"Koszty transportu";"Custos de transporte";"Taşıma masrafları"
"legal.shipping.costs.title";"Verzending en retouren · Transportkosten · titel";"true";"3. Transportkosten";"3. Frais de transport";"3. Transport costs";"3. Transportkosten";"3. Costes de transporte";"3. Koszty transportu";"3. Custos de transporte";"3. Nakliye masrafları"
"legal.shipping.costs.p1";"Verzending en retouren · Transportkosten · alinea 1";"true";"Verzending en transport zijn niet automatisch inbegrepen in de productprijs. De kosten zijn afhankelijk van het verpakte volume en gewicht, de bestemming, de vervoerder en het serviceniveau. Het toepasselijke bedrag wordt bevestigd voordat het transport wordt gepland.";"Les frais d'expédition et de transport ne sont pas automatiquement inclus dans le prix du produit. Les coûts dépendent du volume et du poids emballés, de la destination, du transporteur et du niveau de service. Le montant applicable est confirmé avant la planification du transport.";"Shipping and transport are not automatically included in product pricing. Costs depend on the packed volume and weight, destination, carrier and service level. The applicable amount is confirmed before transport is scheduled.";"Versand und Transport sind nicht automatisch im Produktpreis enthalten. Die Kosten hängen vom verpackten Volumen und Gewicht, dem Bestimmungsort, dem Spediteur und dem Serviceniveau ab. Der anwendbare Betrag wird vor der Planung des Transports bestätigt.";"El envío y el transporte no están incluidos automáticamente en el precio del producto. Los costes dependen del volumen y peso del paquete, el destino, el transportista y el nivel de servicio. El importe aplicable se confirma antes de programar el transporte.";"Wysyłka i transport nie są automatycznie uwzględniane w cenie produktu. Koszty zależą od objętości i wagi opakowania, miejsca docelowego, przewoźnika i poziomu usług. Obowiązująca kwota jest potwierdzana przed ustaleniem terminu transportu.";"O envio e o transporte não estão automaticamente incluídos no preço do produto. Os custos dependem do volume e peso embalados, do destino, da transportadora e do nível de serviço. O valor aplicável é confirmado antes de o transporte ser agendado.";"Sevkiyat ve taşıma masrafları ürün fiyatına otomatik olarak dahil değildir. Maliyetler; paketlenmiş hacim ve ağırlığa, varış noktasına, taşıyıcıya ve hizmet seviyesine bağlıdır. Geçerli tutar, taşıma planlanmadan önce onaylanır."
"legal.shipping.planning.toc";"Verzending en retouren · Planning · label in inhoudsopgave";"true";"Planning & timing";"Planification et timing";"Planning & timing";"Planung und Timing";"Planificación y sincronización";"Planowanie i synchronizacja";"Planeamento e prazos";"Planlama ve zamanlama"
"legal.shipping.planning.title";"Verzending en retouren · Planning · titel";"true";"4. Verwerking en timing";"4. Traitement et synchronisation";"4. Processing and timing";"4. Verarbeitung und Timing";"4. Procesamiento y sincronización";"4. Przetwarzanie i synchronizacja";"4. Processamento e prazos";"4. İşleme ve zamanlama"
"legal.shipping.planning.p1";"Verzending en retouren · Planning · alinea 1";"true";"Bestellingen en ophalingen worden gepland nadat de bestelling, betaling en wijze van levering of ophaling zijn bevestigd. Enrosed vermeldt een verwachte verzend- of ophaaldatum bij de orderbevestiging. Het tijdstip is afhankelijk van de actuele voorraad, het ordervolume, de bestemming en de gekozen transportmethode.";"Les commandes et les retraits sont planifiés après confirmation de la commande, du paiement et du mode de livraison ou de retrait. Enrosed fournit une date d’expédition ou de collecte prévue avec la confirmation de commande. Le délai dépend du stock actuel, du volume de la commande, de la destination et du mode de transport sélectionné.";"Orders and collections are planned after the order, payment and fulfilment method are confirmed. Enrosed provides an expected shipping or collection date with the order confirmation. Timing depends on current stock, order volume, destination and the selected transport method.";"Bestellungen und Abholungen werden geplant, nachdem die Bestellung, die Zahlung und die Liefer- oder Abholart bestätigt wurden. Enrosed gibt mit der Bestellbestätigung ein voraussichtliches Versand- oder Abholdatum an. Der Zeitpunkt hängt vom aktuellen Lagerbestand, Bestellvolumen, Zielort und der gewählten Transportmethode ab.";"Los pedidos y las recogidas se planifican una vez confirmados el pedido, el pago y el método de entrega. Enrosed facilita una fecha prevista de envío o recogida junto con la confirmación del pedido. Los plazos dependen del stock actual, del volumen del pedido, del destino y del método de transporte elegido.";"Zamówienia i odbiory są planowane po potwierdzeniu zamówienia, płatności oraz sposobu wysyłki lub odbioru. Enrosed podaje przewidywaną datę wysyłki lub odbioru w potwierdzeniu zamówienia. Termin zależy od aktualnego stanu magazynowego, wielkości zamówienia, miejsca docelowego i wybranej metody transportu.";"As encomendas e recolhas são planeadas depois de confirmados a encomenda, o pagamento e a modalidade de envio ou recolha. A Enrosed indica uma data prevista de envio ou recolha na confirmação da encomenda. O prazo depende do stock atual, do volume da encomenda, do destino e do método de transporte selecionado.";"Siparişler ve teslim almalar, sipariş, ödeme ve teslimat yöntemi onaylandıktan sonra planlanır. Enrosed, sipariş onayıyla birlikte tahmini gönderim veya teslim alma tarihini bildirir. Zamanlama; mevcut stok, sipariş hacmi, varış noktası ve seçilen taşıma yöntemine bağlıdır."
"legal.shipping.planning.p2";"Verzending en retouren · Planning · alinea 2";"true";"Seizoensperioden zoals Valentijnsdag, Moederdag en eindejaarsfeesten kunnen extra productie- en transportplanning vereisen. Kopers dienen bij het aanvragen van een offerte de gewenste datum te vermelden.";"Les périodes saisonnières telles que la Saint-Valentin, la fête des mères et la fin de l'année peuvent nécessiter une planification supplémentaire de la production et du transport. Les acheteurs doivent inclure la date requise lors de la demande de devis.";"Seasonal periods such as Valentine’s Day, Mother’s Day and year-end can require additional production and transport planning. Buyers should include their required date when requesting a quotation.";"Saisonale Zeiträume wie Valentinstag, Muttertag und Jahresende können eine zusätzliche Produktions- und Transportplanung erfordern. Käufer sollten bei der Angebotsanfrage das gewünschte Datum angeben.";"Los períodos estacionales, como el Día de San Valentín, el Día de la Madre y el final del año, pueden requerir una planificación adicional de la producción y el transporte. Los compradores deben indicar la fecha requerida al solicitar un presupuesto.";"Okresy sezonowe, takie jak Walentynki, Dzień Matki i koniec roku, mogą wymagać dodatkowego planowania produkcji i transportu. Kupujący powinni podać wymaganą datę, prosząc o wycenę.";"Os períodos sazonais, como o Dia dos Namorados, o Dia da Mãe e o final do ano, podem exigir produção adicional e planeamento de transporte. Os compradores devem indicar a data pretendida ao pedir um orçamento.";"Sevgililer Günü, Anneler Günü ve yıl sonu gibi mevsimsel dönemler ek üretim ve nakliye planlaması gerektirebilir. Alıcılar, teklif isterken gerekli tarihi belirtmelidir."
"legal.shipping.tracking.toc";"Verzending en retouren · Tracking en risico · label in inhoudsopgave";"true";"Zending volgen";"Suivi";"Tracking";"Sendungsverfolgung";"Seguimiento";"Śledzenie";"Seguimento";"Takip"
"legal.shipping.tracking.title";"Verzending en retouren · Tracking en risico · titel";"true";"5. Tracking- en leveringsinformatie";"5. Informations de suivi et de livraison";"5. Tracking and delivery information";"5. Informationen zur Sendungsverfolgung und Lieferung";"5. Información de seguimiento y entrega";"5. Informacje o śledzeniu i dostawie";"5. Informações de seguimento e entrega";"5. Takip ve teslimat bilgileri"
"legal.shipping.tracking.p1";"Verzending en retouren · Tracking en risico · alinea 1";"true";"Wanneer de geselecteerde vervoerder tracking aanbiedt, worden de beschikbare trackinggegevens na verzending gedeeld. De klant is verantwoordelijk voor het verstrekken van een volledig afleveradres, contactpersoon en eventuele toegangsinformatie die de vervoerder nodig heeft.";"Lorsque le transporteur sélectionné assure le suivi, les détails de suivi disponibles sont partagés après l'expédition. Il appartient au client de fournir une adresse complète de livraison, une personne de contact ainsi que toutes les informations d'accès nécessaires au transporteur.";"Where the selected carrier provides tracking, the available tracking details are shared after dispatch. The customer is responsible for providing a complete delivery address, contact person and any access information needed by the carrier.";"Wenn der ausgewählte Spediteur eine Sendungsverfolgung bereitstellt, werden die verfügbaren Sendungsverfolgungsdetails nach dem Versand weitergegeben. Der Kunde ist für die Angabe einer vollständigen Lieferadresse, eines Ansprechpartners und aller vom Spediteur benötigten Zugangsinformationen verantwortlich.";"Cuando el transportista seleccionado proporciona seguimiento, los detalles de seguimiento disponibles se comparten después del envío. El cliente es responsable de proporcionar una dirección de entrega completa, una persona de contacto y cualquier información de acceso que necesite el transportista.";"Jeśli wybrany przewoźnik zapewnia śledzenie, dostępne szczegóły śledzenia są udostępniane po wysyłce. Klient jest odpowiedzialny za podanie pełnego adresu dostawy, osoby kontaktowej i wszelkich informacji dostępowych potrzebnych przewoźnikowi.";"Quando a transportadora selecionada disponibilizar seguimento, os dados disponíveis serão partilhados após o envio. O cliente é responsável por fornecer a morada de entrega completa, a pessoa de contacto e quaisquer informações de acesso necessárias à transportadora.";"Seçilen taşıyıcının takip sağladığı durumlarda mevcut takip detayları gönderimden sonra paylaşılır. Müşteri, eksiksiz teslimat adresini, irtibat kişisini ve taşıyıcının ihtiyaç duyduğu erişim bilgilerini sağlamaktan sorumludur."
"legal.shipping.tracking.p2";"Verzending en retouren · Tracking en risico · alinea 2";"true";"Extra kosten veroorzaakt door een onjuist adres, geweigerde levering of gemiste ophaling kunnen, indien van toepassing, aan de klant in rekening worden gebracht.";"Des frais supplémentaires occasionnés par une adresse incorrecte, un refus de livraison ou un retrait manqué peuvent être facturés au client le cas échéant.";"Additional costs caused by an incorrect address, refused delivery or missed collection can be charged to the customer where applicable.";"Zusätzliche Kosten, die durch eine falsche Adresse, verweigerte Lieferung oder versäumte Abholung verursacht werden, können dem Kunden gegebenenfalls in Rechnung gestellt werden.";"Los costes adicionales causados por una dirección incorrecta, una entrega rechazada o una recogida fallida podrán cobrarse al cliente cuando corresponda.";"Dodatkowe koszty spowodowane nieprawidłowym adresem, odmową przyjęcia dostawy lub nieudaną próbą odbioru mogą zostać naliczone klientowi, gdy ma to zastosowanie.";"Os custos adicionais causados por morada incorreta, recusa de entrega ou falta de recolha poderão ser cobrados ao cliente quando aplicável.";"Yanlış adres, reddedilen teslimat veya kaçırılan teslim alma nedeniyle oluşan ek masraflar, uygun olduğu durumlarda müşteriye yansıtılabilir."
"legal.shipping.damage.toc";"Verzending en retouren · Schade en tekorten · label in inhoudsopgave";"true";"Schade & tekorten";"Dommages et manques";"Damage & shortages";"Schäden und Mängel";"Daños y escasez";"Uszkodzenia i braki";"Danos e faltas";"Hasar ve eksiklikler"
"legal.shipping.damage.title";"Verzending en retouren · Schade en tekorten · titel";"true";"6. Beschadigingen, tekorten of verkeerde artikelen";"6. Dommages, pénuries ou articles incorrects";"6. Damage, shortages or incorrect items";"6. Schäden, Mängel oder falsche Artikel";"6. Daños, escasez o artículos incorrectos";"6. Uszkodzenia, braki lub nieprawidłowe elementy";"6. Danos, faltas ou artigos incorretos";"6. Hasar, eksiklik veya hatalı öğeler"
"legal.shipping.damage.p1";"Verzending en retouren · Schade en tekorten · alinea 1";"true";"Inspecteer de zending wanneer deze aankomt. Zichtbare schade, tekorten of onjuiste producten dienen binnen 48 uur te worden gemeld aan {email}. Voeg de bestelreferentie en duidelijke foto's van de buitenverpakking, binnenverpakking en betrokken producten toe.";"Inspectez l’envoi à son arrivée. Les dommages visibles, les pénuries ou les produits incorrects doivent être signalés dans les 48 heures à {email}. Incluez la référence de la commande et des photographies claires de l’emballage extérieur, de l’emballage intérieur et des produits concernés.";"Inspect the shipment when it arrives. Visible damage, shortages or incorrect products should be reported within 48 hours to {email}. Include the order reference and clear photographs of the outer packaging, inner packaging and affected products.";"Überprüfen Sie die Lieferung bei ihrer Ankunft. Sichtbare Schäden, Fehlmengen oder falsche Produkte müssen innerhalb von 48 Stunden an {email} gemeldet werden. Fügen Sie die Bestellnummer und klare Fotos der Außenverpackung, der Innenverpackung und der betroffenen Produkte bei.";"Inspeccione el envío a su llegada. Los daños visibles, los artículos faltantes o los productos incorrectos deben notificarse a {email} en un plazo de 48 horas. Incluya la referencia del pedido y fotografías claras del embalaje exterior, del embalaje interior y de los productos afectados.";"Sprawdź przesyłkę po jej otrzymaniu. Widoczne uszkodzenia, braki lub nieprawidłowe produkty należy zgłosić w ciągu 48 godzin na adres {email}. Dołącz numer zamówienia i wyraźne zdjęcia opakowania zewnętrznego i wewnętrznego oraz produktów, których to dotyczy.";"Inspecione a remessa quando chegar. Os danos visíveis, as faltas ou os produtos incorretos devem ser comunicados no prazo de 48 horas para {email}. Inclua a referência da encomenda e fotografias nítidas da embalagem exterior, da embalagem interior e dos produtos afetados.";"Gönderi geldiğinde inceleyin. Görünür hasar, eksiklik veya hatalı ürünler 48 saat içinde {email}'e bildirilmelidir. Sipariş referansını ve dış ambalajın, iç ambalajın ve etkilenen ürünlerin net fotoğraflarını ekleyin."
"legal.shipping.damage.p2";"Verzending en retouren · Schade en tekorten · alinea 2";"true";"Gooi de goederen of verpakking niet weg totdat Enrosed de volgende stap bevestigt, aangezien de vervoerder deze mogelijk nodig heeft voor beoordeling.";"Ne jetez pas les marchandises ou l'emballage jusqu'à ce que Enrosed confirme l'étape suivante, car le transporteur peut les exiger pour évaluation.";"Do not discard the goods or packaging until Enrosed confirms the next step, as the carrier may require them for assessment.";"Entsorgen Sie die Waren oder Verpackungen nicht, bis Enrosed den nächsten Schritt bestätigt, da der Spediteur sie möglicherweise zur Beurteilung benötigt.";"No deseche la mercancía ni el embalaje hasta que Enrosed confirme el siguiente paso, ya que el transportista puede requerirlos para su evaluación.";"Nie wyrzucaj towaru ani opakowania, dopóki Enrosed nie potwierdzi kolejnego kroku, ponieważ przewoźnik może wymagać ich do oceny.";"Não elimine a mercadoria ou a embalagem até que Enrosed confirme o passo seguinte, pois a transportadora poderá exigi-los para avaliação.";"Taşıyıcı değerlendirme için bunları isteyebileceğinden, Enrosed bir sonraki adımı onaylayana kadar malları veya ambalajı atmayın."
"legal.shipping.returns.toc";"Verzending en retouren · B2B-retouren · label in inhoudsopgave";"true";"B2B-retouren";"Retours B2B";"B2B returns";"B2B-Rücksendungen";"Devoluciones B2B";"Zwroty B2B";"Devoluções B2B";"B2B iadeleri"
"legal.shipping.returns.title";"Verzending en retouren · B2B-retouren · titel";"true";"7. B2B annuleringen en retourzendingen";"7. B2B annulations et retours";"7. B2B cancellations and returns";"7. B2B Stornierungen und Rückgaben";"7. B2B cancelaciones y devoluciones";"7. Anulacje i zwroty B2B";"7. B2B anulações e devoluções";"7. B2B iptaller ve iadeler"
"legal.shipping.returns.p1";"Verzending en retouren · B2B-retouren · alinea 1";"true";"Voor zakelijke bestellingen geldt geen herroepingstermijn voor consumenten. Annulering, ruilen of retourneren is alleen mogelijk nadat Enrosed schriftelijke toestemming geeft. De overeengekomen oplossing kan rekening houden met transport, handling, administratie, productconditie en eventueel waardeverlies.";"Les commandes commerciales ne comportent pas de délai de rétractation pour le consommateur. L’annulation, l’échange ou le retour ne sont possibles qu’après l’approbation écrite d’Enrosed. La solution convenue peut prendre en compte le transport, la manutention, l’administration, l’état du produit et toute perte de valeur.";"Business orders do not have a consumer withdrawal period. Cancellation, exchange or return is possible only after Enrosed gives written approval. The agreed solution can account for transport, handling, administration, product condition and any loss in value.";"Für Geschäftsbestellungen gilt keine Widerrufsfrist für Verbraucher. Stornierung, Umtausch oder Rückgabe sind nur nach schriftlicher Genehmigung von Enrosed möglich. Die vereinbarte Lösung kann Transport, Handhabung, Verwaltung, Produktzustand und etwaige Wertverluste berücksichtigen.";"Los pedidos comerciales no tienen período de desistimiento por parte del consumidor. La cancelación, el cambio o la devolución solo son posibles después de que Enrosed dé su aprobación por escrito. La solución acordada puede tener en cuenta el transporte, la manipulación, la administración, el estado del producto y cualquier pérdida de valor.";"Zamówienia biznesowe nie mają okresu na odstąpienie od umowy przez konsumenta. Anulowanie, wymiana lub zwrot możliwe są wyłącznie po wyrażeniu przez firmę Enrosed pisemnej zgody. Uzgodnione rozwiązanie może uwzględniać transport, przeładunek, administrację, stan produktu i jakąkolwiek utratę wartości.";"As encomendas comerciais não beneficiam do prazo de livre resolução aplicável aos consumidores. O cancelamento, a troca ou a devolução só são possíveis após aprovação escrita da Enrosed. A solução acordada pode ter em conta o transporte, o manuseamento, a administração, o estado do produto e qualquer perda de valor.";"Ticari siparişlerde tüketicilere tanınan cayma süresi yoktur. İptal, değişim veya iade yalnızca Enrosed’ın önceden yazılı onayıyla mümkündür. Mutabık kalınan çözüm; nakliye, elleçleme ve idari masraflar ile ürünün durumunu ve değer kaybını dikkate alabilir."
"legal.shipping.returns.p2";"Verzending en retouren · B2B-retouren · alinea 2";"true";"Voor huismerk-, gepersonaliseerde, speciaal geproduceerde of seizoensgebonden producten kunnen aanvullende beperkingen gelden die in de offerte worden vermeld. Stuur geen retourzending voordat u schriftelijke instructies en het juiste retouradres heeft ontvangen.";"Les produits de marque privée, personnalisés, d'origine spéciale ou saisonniers peuvent être soumis à des restrictions supplémentaires indiquées dans le devis. N'envoyez pas de retour avant d'avoir reçu des instructions écrites et l'adresse de retour correcte.";"Private-label, personalised, specially sourced or seasonal products may be subject to additional restrictions stated in the quotation. Do not send a return before receiving written instructions and the correct return address.";"Eigenmarkenprodukte, personalisierte, speziell bezogene oder saisonale Produkte können zusätzlichen Einschränkungen unterliegen, die im Angebot angegeben sind. Senden Sie eine Rücksendung erst, nachdem Sie schriftliche Anweisungen und die korrekte Rücksendeadresse erhalten haben.";"Los productos de marca propia, personalizados, de procedencia especial o de temporada pueden estar sujetos a restricciones adicionales indicadas en el presupuesto. No envíe ninguna devolución antes de recibir instrucciones por escrito y la dirección de devolución correcta.";"Produkty marki własnej, spersonalizowane, pochodzące ze specjalnego źródła lub produkty sezonowe mogą podlegać dodatkowym ograniczeniom określonym w ofercie. Nie wysyłaj zwrotu przed otrzymaniem pisemnych instrukcji i prawidłowego adresu zwrotnego.";"Os produtos de marca própria, personalizados, de origem especial ou sazonais podem estar sujeitos a restrições adicionais indicadas no orçamento. Não envie uma devolução antes de receber instruções por escrito e a morada correta para devolução.";"Özel etiketli, kişiselleştirilmiş, özel kaynaklı veya sezonluk ürünler, fiyat teklifinde belirtilen ek kısıtlamalara tabi olabilir. Yazılı talimatları ve doğru iade adresini almadan iade göndermeyin."
"legal.shipping.contact.toc";"Verzending en retouren · Contact · label in inhoudsopgave";"true";"Contact";"Contact";"Contact";"Kontakt";"Contacto";"Kontakt";"Contacto";"İletişim"
"legal.shipping.contact.title";"Verzending en retouren · Contact · titel";"true";"8. Contactpersoon voor verzending";"8. Contact d'expédition";"8. Shipping contact";"8. Versandkontakt";"8. Contacto de envío";"8. Kontakt do spraw wysyłki";"8. Contacto de envio";"8. Nakliye iletişim bilgileri"
"legal.shipping.contact.p1";"Verzending en retouren · Contact · alinea 1";"true";"Neem voor een verzendofferte of een bestaande levering contact op met Enrosed op {email} of {phone}. Vermeld uw bedrijf, bestelreferentie indien beschikbaar, bestemming en gewenste timing.";"Pour un devis d'expédition ou une livraison existante, contactez Enrosed au {email} ou {phone}. Incluez votre entreprise, la référence de la commande si disponible, la destination et le moment souhaité.";"For a shipping quotation or an existing delivery, contact Enrosed at {email} or {phone}. Include your company, order reference where available, destination and preferred timing.";"Für ein Versandangebot oder eine bestehende Lieferung wenden Sie sich an Enrosed unter {email} oder {phone}. Geben Sie Ihr Unternehmen, die Bestellnummer (sofern verfügbar), den Bestimmungsort und den bevorzugten Zeitpunkt an.";"Para solicitar un presupuesto de envío o consultar una entrega en curso, póngase en contacto con Enrosed a través de {email} o {phone}. Indique su empresa, la referencia del pedido si está disponible, el destino y la fecha deseada.";"Aby uzyskać wycenę wysyłki lub istniejącą dostawę, skontaktuj się z Enrosed pod numerem {email} lub {phone}. Podaj swoją firmę, numer zamówienia, jeśli jest dostępny, miejsce docelowe i preferowany termin.";"Para pedir um orçamento de transporte ou esclarecer uma entrega em curso, contacte a Enrosed através de {email} ou {phone}. Indique a empresa, a referência da encomenda quando disponível, o destino e o prazo pretendido.";"Gönderim teklifi veya mevcut teslimat için {email} veya {phone} numaralı telefondan Enrosed ile iletişime geçin. Şirketinizi, varsa sipariş referansını, varış yerini ve tercih edilen zamanlamayı ekleyin."
"legal.trade.title";"Handelsvoorwaarden · titel";"true";"Handelsvoorwaarden";"Conditions commerciales";"Trade terms";"Handelsbedingungen";"Términos comerciales";"Warunki handlowe";"Termos comerciais";"Ticaret şartları"
"legal.trade.description";"Handelsvoorwaarden · beschrijving";"true";"Het commerciële raamwerk voor groothandelsoffertes en zakelijke bestellingen die rechtstreeks bij Enrosed worden geplaatst.";"Le cadre commercial pour les devis de gros et les commandes commerciales passées directement avec Enrosed.";"The commercial framework for wholesale quotations and business orders placed directly with Enrosed.";"Der kommerzielle Rahmen für Großhandelsangebote und Geschäftsaufträge, die direkt bei Enrosed aufgegeben werden.";"El marco comercial para presupuestos mayoristas y pedidos comerciales realizados directamente con Enrosed.";"Komercyjna platforma dla ofert hurtowych i zamówień biznesowych składanych bezpośrednio w Enrosed.";"O enquadramento comercial para propostas grossistas e encomendas comerciais feitas diretamente à Enrosed.";"Doğrudan Enrosed ile verilen toptan satış teklifleri ve iş siparişleri için ticari çerçeve."
"legal.trade.updated";"Handelsvoorwaarden · datum bijgewerkt";"true";"20 augustus 2026";"20 août 2026";"20 August 2026";"20. August 2026";"20 de agosto de 2026";"20 sierpnia 2026 r";"20 de agosto de 2026";"20 Ağustos 2026"
"legal.trade.scope.toc";"Handelsvoorwaarden · Toepasselijkheid · label in inhoudsopgave";"true";"Toepasselijkheid";"Champ d’application";"Scope";"Geltungsbereich";"Ámbito de aplicación";"Zakres";"Âmbito";"Kapsam"
